date, value
6/2/69,0.260
6/3/69,0.260
6/4/69,0.260
6/5/69,0.260
6/6/69,0.260
6/9/69,0.260
6/10/69,0.260
6/11/69,0.260
6/12/69,0.260
6/13/69,0.260
6/16/69,0.260
6/17/69,0.260
6/18/69,0.260
6/19/69,0.260
6/20/69,0.260
6/23/69,0.260
6/24/69,0.260
6/25/69,0.260
6/26/69,0.260
6/27/69,0.260
6/30/69,0.260
7/1/69,0.260
7/2/69,0.260
7/3/69,0.260
7/7/69,0.260
7/8/69,0.260
7/9/69,0.260
7/10/69,0.260
7/11/69,0.260
7/14/69,0.260
7/15/69,0.260
7/16/69,0.260
7/17/69,0.260
7/18/69,0.260
7/22/69,0.260
7/23/69,0.260
7/24/69,0.260
7/25/69,0.260
7/28/69,0.260
7/29/69,0.260
7/30/69,0.260
7/31/69,0.260
8/1/69,0.260
8/4/69,0.260
8/5/69,0.260
8/6/69,0.260
8/7/69,0.260
8/8/69,0.260
8/11/69,0.260
8/12/69,0.260
8/13/69,0.260
8/14/69,0.260
8/15/69,0.260
8/18/69,0.260
8/19/69,0.260
8/20/69,0.260
8/21/69,0.260
8/22/69,0.260
8/25/69,0.260
8/26/69,0.260
8/27/69,0.260
8/28/69,0.260
8/29/69,0.260
9/2/69,0.260
9/3/69,0.260
9/4/69,0.250
9/5/69,0.250
9/8/69,0.250
9/9/69,0.250
9/10/69,0.250
9/11/69,0.250
9/12/69,0.250
9/15/69,0.250
9/16/69,0.250
9/17/69,0.250
9/18/69,0.250
9/19/69,0.250
9/22/69,0.250
9/23/69,0.250
9/24/69,0.250
9/25/69,0.250
9/26/69,0.250
9/29/69,0.250
9/30/69,0.250
10/1/69,0.250
10/2/69,0.250
10/3/69,0.250
10/6/69,0.250
10/7/69,0.250
10/8/69,0.250
10/9/69,0.250
10/10/69,0.250
10/13/69,0.250
10/14/69,0.250
10/15/69,0.250
10/16/69,0.250
10/17/69,0.250
10/20/69,0.250
10/21/69,0.250
10/22/69,0.250
10/23/69,0.250
10/24/69,0.250
10/27/69,0.250
10/28/69,0.250
10/29/69,0.250
10/30/69,0.250
10/31/69,0.250
11/3/69,0.250
11/4/69,0.250
11/5/69,0.250
11/6/69,0.250
11/7/69,0.250
11/10/69,0.250
11/11/69,0.250
11/12/69,0.250
11/13/69,0.250
11/14/69,0.250
11/17/69,0.250
11/18/69,0.250
11/19/69,0.250
11/20/69,0.250
11/21/69,0.250
11/24/69,0.250
11/25/69,0.250
11/26/69,0.250
11/28/69,0.250
12/1/69,0.250
12/2/69,0.250
12/3/69,0.250
12/4/69,0.250
12/5/69,0.250
12/8/69,0.250
12/9/69,0.250
12/10/69,0.250
12/11/69,0.250
12/12/69,0.250
12/15/69,0.250
12/16/69,0.250
12/17/69,0.250
12/18/69,0.250
12/19/69,0.250
12/22/69,0.250
12/23/69,0.250
12/24/69,0.250
12/26/69,0.250
12/29/69,0.250
12/30/69,0.250
12/31/69,0.250
1/2/70,0.250
1/5/70,0.250
1/6/70,0.250
1/7/70,0.250
1/8/70,0.250
1/9/70,0.250
1/12/70,0.250
1/13/70,0.250
1/14/70,0.250
1/15/70,0.250
1/16/70,0.250
1/19/70,0.250
1/20/70,0.250
1/21/70,0.250
1/22/70,0.250
1/23/70,0.250
1/26/70,0.250
1/27/70,0.250
1/28/70,0.250
1/29/70,0.250
1/30/70,0.250
2/2/70,0.250
2/3/70,0.250
2/4/70,0.250
2/5/70,0.250
2/6/70,0.250
2/9/70,0.250
2/10/70,0.250
2/11/70,0.250
2/12/70,0.250
2/13/70,0.250
2/16/70,0.250
2/17/70,0.250
2/18/70,0.250
2/19/70,0.250
2/20/70,0.250
2/24/70,0.250
2/25/70,0.250
2/26/70,0.250
2/27/70,0.250
3/2/70,0.250
3/3/70,0.250
3/4/70,0.250
3/5/70,0.250
3/6/70,0.250
3/9/70,0.250
3/10/70,0.250
3/11/70,0.250
3/12/70,0.250
3/13/70,0.250
3/16/70,0.250
3/17/70,0.250
3/18/70,0.250
3/19/70,0.250
3/20/70,0.250
3/23/70,0.250
3/24/70,0.250
3/25/70,0.250
3/26/70,0.250
3/30/70,0.250
3/31/70,0.250
4/1/70,0.250
4/2/70,0.250
4/3/70,0.253
4/6/70,0.253
4/7/70,0.253
4/8/70,0.253
4/9/70,0.253
4/10/70,0.253
4/13/70,0.253
4/14/70,0.253
4/15/70,0.253
4/16/70,0.253
4/17/70,0.253
4/20/70,0.253
4/21/70,0.253
4/22/70,0.253
4/23/70,0.253
4/24/70,0.253
4/27/70,0.253
4/28/70,0.253
4/29/70,0.253
4/30/70,0.253
5/1/70,0.253
5/4/70,0.253
5/5/70,0.253
5/6/70,0.253
5/7/70,0.255
5/8/70,0.255
5/11/70,0.255
5/12/70,0.255
5/13/70,0.255
5/14/70,0.255
5/15/70,0.255
5/18/70,0.255
5/19/70,0.255
5/20/70,0.255
5/21/70,0.255
5/22/70,0.255
5/25/70,0.255
5/26/70,0.255
5/27/70,0.255
5/28/70,0.258
5/29/70,0.258
6/1/70,0.258
6/2/70,0.258
6/3/70,0.258
6/4/70,0.258
6/5/70,0.258
6/8/70,0.258
6/9/70,0.258
6/10/70,0.258
6/11/70,0.260
6/12/70,0.260
6/15/70,0.260
6/16/70,0.260
6/17/70,0.260
6/18/70,0.260
6/19/70,0.260
6/22/70,0.260
6/23/70,0.260
6/24/70,0.260
6/25/70,0.260
6/26/70,0.260
6/29/70,0.260
6/30/70,0.260
7/1/70,0.260
7/2/70,0.260
7/6/70,0.260
7/7/70,0.260
7/8/70,0.260
7/9/70,0.260
7/10/70,0.260
7/13/70,0.260
7/14/70,0.260
7/15/70,0.260
7/16/70,0.263
7/17/70,0.263
7/20/70,0.263
7/21/70,0.263
7/22/70,0.263
7/23/70,0.263
7/24/70,0.263
7/27/70,0.263
7/28/70,0.263
7/29/70,0.263
