STN   ,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,   SLP,  ,   STP,  ,   VISIB,  ,   WDSP,  ,  MXSPD,   GUST,     MAX,     MIN,  PRCP, SNDP,FRSHTT,
723150,03812, 20000101,   44.7,24,   40.3,24,1022.0,21,9999.9, 0,     6.0,24,    3.2,24,   15.0,   20.0,   64.0 ,   30.9 , 0.00D,999.9,100000,
723150,03812, 20000102,   55.5,24,   50.0,24,1022.1,19,9999.9, 0,     7.2,24,    6.6,24,   15.9,   21.0,   66.0*,   48.2*, 0.00D,999.9,110000,
723150,03812, 20000103,   58.1,24,   53.6,24,1019.7,23,9999.9, 0,     9.5,24,    7.2,24,   15.0,   20.0,   66.9 ,   48.0 , 0.00D,999.9,010000,
723150,03812, 20000104,   57.7,24,   50.8,24,1012.3,21,9999.9, 0,     8.2,24,   10.4,24,   18.1,   23.9,   62.1*,   46.4*, 0.06G,999.9,110000,
723150,03812, 20000105,   34.9,24,   23.8,24,1021.6,21,9999.9, 0,    10.0,24,   10.2,24,   17.1,   27.0,   46.0*,   28.0*, 0.14G,999.9,001000,
723150,03812, 20000106,   31.6,24,   22.1,24,1030.6,24,9999.9, 0,     9.6,24,    2.9,24,    8.9,  999.9,   48.0 ,   19.0 , 0.00G,999.9,100000,
723150,03812, 20000107,   36.6,24,   24.7,24,1028.5,24,9999.9, 0,     9.9,24,    8.2,24,   17.1,   23.9,   50.0*,   27.0*, 0.00D,999.9,000000,
723150,03812, 20000108,   35.7,24,   23.5,24,1027.5,24,9999.9, 0,     9.9,24,    3.4,24,    8.9,  999.9,   50.0 ,   24.1 , 0.00C,999.9,000000,
723150,03812, 20000109,   42.5,24,   30.9,24,1018.9,21,9999.9, 0,     6.6,24,    4.2,24,    8.9,  999.9,   50.0 ,   24.1 , 0.44D,999.9,110000,
723150,03812, 20000110,   52.8,24,   34.1,24,1008.5,21,9999.9, 0,     5.7,24,    6.5,24,   17.1,   27.0,   60.8*,   46.4*, 1.42G,999.9,110010,
723150,03812, 20000111,   46.5,24,   24.1,24,1013.2,23,9999.9, 0,    10.0,24,    6.5,24,   25.1,   33.0,   64.9 ,   28.9 , 0.03G,999.9,000000,
723150,03812, 20000112,   44.7,24,   24.9,24,1021.3,24,9999.9, 0,     9.9,24,    4.4,24,   11.1,  999.9,   66.0 ,   28.0 , 0.00G,999.9,000000,
723150,03812, 20000113,   53.7,24,   35.0,24,1017.6,24,9999.9, 0,     9.9,24,   10.6,24,   24.1,   34.0,   66.0 ,   28.0 , 0.08D,999.9,010000,
