date, value
4/4/75,3.8225
4/7/75,3.7750
4/8/75,3.7725
4/9/75,3.7825
4/10/75,3.6525
4/11/75,3.6525
4/14/75,3.6375
4/15/75,3.5150
4/16/75,3.5750
4/17/75,3.5875
4/18/75,3.5675
4/21/75,3.5225
4/22/75,3.4450
4/23/75,3.4775
4/24/75,3.4625
4/25/75,3.5075
4/28/75,3.5575
4/29/75,3.4700
4/30/75,3.4125
5/1/75,3.1975
5/2/75,3.2675
5/5/75,3.1900
5/6/75,3.1525
5/7/75,3.2250
5/8/75,3.2925
5/9/75,3.2975
5/12/75,3.3050
5/13/75,3.3125
5/14/75,3.3050
5/15/75,3.2775
5/16/75,3.2525
5/19/75,3.4275
5/20/75,3.3575
5/21/75,3.2900
5/22/75,3.2975
5/23/75,3.2650
5/27/75,3.1375
5/28/75,3.1425
5/29/75,3.0975
5/30/75,3.0850
6/2/75,2.9875
6/3/75,2.9275
6/4/75,3.0050
6/5/75,2.9775
6/6/75,2.9650
6/9/75,3.0475
6/10/75,3.0200
6/11/75,2.9525
6/12/75,2.9150
6/13/75,2.9250
6/16/75,3.0000
6/17/75,3.1875
6/18/75,3.1225
6/19/75,3.0550
6/20/75,3.1650
6/23/75,3.1125
6/24/75,3.1675
6/25/75,3.0600
6/26/75,3.0250
6/27/75,2.9625
6/30/75,2.9625
7/1/75,2.9050
7/2/75,2.8950
7/3/75,2.9450
7/7/75,3.0225
7/8/75,3.2125
7/9/75,3.3350
7/10/75,3.4550
7/11/75,3.6150
7/14/75,3.5200
7/15/75,3.5150
7/16/75,3.6650
7/17/75,3.5500
7/18/75,3.4350
7/21/75,3.5125
7/22/75,3.5400
7/23/75,3.4650
7/24/75,3.5675
7/25/75,3.6400
7/28/75,3.7850
7/29/75,3.6850
7/30/75,3.5025
7/31/75,3.5175
8/1/75,3.5450
8/4/75,3.5550
8/5/75,3.5350
8/6/75,3.5825
8/7/75,3.7550
8/8/75,3.6550
8/11/75,3.6350
8/12/75,3.7325
8/13/75,3.8650
8/14/75,3.8850
8/15/75,3.8875
8/18/75,3.8500
8/19/75,3.9525
8/20/75,4.1150
8/21/75,4.1750
8/22/75,4.1750
8/25/75,4.1050
8/26/75,3.7850
8/27/75,3.9450
8/28/75,3.7750
8/29/75,3.7650
9/2/75,3.7350
9/3/75,3.8850
9/4/75,4.0200
9/5/75,4.0850
9/8/75,3.9575
9/9/75,3.9625
9/10/75,4.0000
9/11/75,3.9600
9/12/75,4.1100
9/15/75,4.0500
9/16/75,4.1000
9/17/75,4.2275
9/18/75,4.1750
9/19/75,4.1675
9/22/75,4.1200
9/23/75,4.0550
9/24/75,4.0625
9/25/75,4.1750
9/26/75,4.1650
9/29/75,4.0800
9/30/75,4.0950
10/1/75,4.0950
10/2/75,3.9075
10/3/75,3.9350
10/6/75,3.9800
10/7/75,4.0150
10/8/75,3.9375
10/9/75,3.9525
10/10/75,3.9300
10/13/75,3.8600
10/14/75,3.9325
10/15/75,3.8450
10/16/75,3.8975
10/17/75,3.8575
10/20/75,3.9300
10/21/75,3.7500
10/22/75,3.7650
10/23/75,3.7225
10/24/75,3.7150
10/27/75,3.5925
10/28/75,3.6450
10/29/75,3.7000
10/30/75,3.7475
10/31/75,3.6625
11/3/75,3.5475
11/4/75,3.5925
11/5/75,3.5950
11/6/75,3.5300
11/7/75,3.5550
11/10/75,3.4875
11/11/75,3.4650
11/12/75,3.4250
11/13/75,3.3950
11/14/75,3.4375
11/17/75,3.4350
11/18/75,3.3450
11/19/75,3.2575
11/20/75,3.3200
11/21/75,3.3700
11/24/75,3.5700
11/25/75,3.4850
11/26/75,3.4775
11/28/75,3.4225
12/1/75,3.4150
12/2/75,3.4525
12/3/75,3.4325
12/4/75,3.4950
12/5/75,3.4675
12/8/75,3.3350
12/9/75,3.3625
12/10/75,3.3575
12/11/75,3.3775
12/12/75,3.2475
12/15/75,3.2250
12/16/75,3.2575
12/17/75,3.2675
12/18/75,3.2825
12/19/75,3.3200
12/22/75,3.2975
12/23/75,3.2675
12/24/75,3.2650
12/26/75,3.2650
12/29/75,3.1950
12/30/75,3.2275
12/31/75,3.2475
1/2/76,3.2800
1/5/76,3.4025
1/6/76,3.3725
1/7/76,3.4600
1/8/76,3.4400
1/9/76,3.4175
1/12/76,3.5175
1/13/76,3.4950
1/14/76,3.4975
1/15/76,3.4625
1/16/76,3.4575
1/19/76,3.5625
1/20/76,3.5525
1/21/76,3.5275
1/22/76,3.4675
1/23/76,3.4800
1/26/76,3.3325
1/27/76,3.3775
1/28/76,3.3975
1/29/76,3.4425
1/30/76,3.5075
2/2/76,3.5925
2/3/76,3.6050
2/4/76,3.5475
2/5/76,3.5400
2/6/76,3.5525
2/9/76,3.5625
2/10/76,3.7175
2/11/76,3.7825
2/12/76,3.9050
2/13/76,3.8650
2/17/76,3.9575
2/18/76,3.8250
2/19/76,3.8725
2/20/76,3.8050
2/23/76,3.8425
2/24/76,3.8900
2/25/76,3.9450
2/26/76,3.7450
2/27/76,3.9450
3/1/76,3.8800
3/2/76,3.7550
3/3/76,3.7825
3/4/76,3.8450
3/5/76,3.8275
3/8/76,3.7575
3/9/76,3.7725
3/10/76,3.7300
3/11/76,3.6550
3/12/76,3.6850
3/15/76,3.6775
3/16/76,3.6250
3/17/76,3.6775
3/18/76,3.7150
3/19/76,3.6825
3/22/76,3.7175
3/23/76,3.6350
3/24/76,3.6075
3/25/76,3.4825
3/26/76,3.4375
3/29/76,3.3650
3/30/76,3.4175
3/31/76,3.3350
4/1/76,3.3775
4/2/76,3.3750
4/5/76,3.3950
4/6/76,3.4400
4/7/76,3.4075
4/8/76,3.4250
4/9/76,3.4200
4/12/76,3.3825
4/13/76,3.3500
4/14/76,3.3600
4/15/76,3.4650
4/19/76,3.4200
4/20/76,3.3900
4/21/76,3.3700
4/22/76,3.3600
4/23/76,3.2600
4/26/76,3.2500
4/27/76,3.1950
4/28/76,3.2300
4/29/76,3.1800
4/30/76,3.1875
5/3/76,3.2225
5/4/76,3.2025
5/5/76,3.1950
5/6/76,3.2000
5/7/76,3.1850
5/10/76,3.2275
5/11/76,3.2550
5/12/76,3.3000
5/13/76,3.4000
5/14/76,3.3850
5/17/76,3.3650
5/18/76,3.3100
5/19/76,3.2875
5/20/76,3.2625
5/21/76,3.2575
5/24/76,3.4075
5/25/76,3.3100
5/26/76,3.3475
5/27/76,3.3875
5/28/76,3.3750
6/1/76,3.4875
6/2/76,3.4675
6/3/76,3.4700
6/4/76,3.4275
6/7/76,3.5050
6/8/76,3.5650
6/9/76,3.5950
6/10/76,3.6200
6/11/76,3.5150
6/14/76,3.4950
6/15/76,3.3750
6/16/76,3.3975
6/17/76,3.3700
6/18/76,3.3750
6/21/76,3.4750
6/22/76,3.4550
6/23/76,3.4125
6/24/76,3.4875
6/25/76,3.4575
6/28/76,3.4750
6/29/76,3.4450
6/30/76,3.3825
7/1/76,3.5350
7/2/76,3.5550
7/6/76,3.6250
7/7/76,3.4350
7/8/76,3.4900
7/9/76,3.4500
7/12/76,3.3150
7/13/76,3.3350
7/14/76,3.4700
7/15/76,3.3950
7/16/76,3.3925
7/19/76,3.3050
7/20/76,3.3450
7/21/76,3.3575
7/22/76,3.2650
7/23/76,3.3125
7/26/76,3.2575
7/27/76,3.2625
7/28/76,3.2600
7/29/76,3.2200
7/30/76,3.1600
8/2/76,3.0575
8/3/76,3.0950
8/4/76,3.1425
8/5/76,3.1150
8/6/76,3.0650
8/9/76,3.0025
8/10/76,3.0175
8/11/76,3.0125
8/12/76,3.0225
8/13/76,3.0325
8/16/76,3.0225
8/17/76,2.9425
8/18/76,2.9600
8/19/76,3.0125
8/20/76,3.0425
8/23/76,3.0800
8/24/76,3.0250
8/25/76,2.9575
8/26/76,2.9450
8/27/76,2.9200
8/30/76,2.8775
8/31/76,2.9200
9/1/76,2.9400
9/2/76,3.0100
9/3/76,2.9925
9/7/76,3.1150
9/8/76,3.0200
9/9/76,3.0375
9/10/76,3.0075
9/13/76,2.8900
9/14/76,2.9400
9/15/76,2.9925
9/16/76,2.9625
9/17/76,2.8850
9/20/76,2.8500
9/21/76,2.8375
9/22/76,2.8275
9/23/76,2.8675
9/24/76,2.8125
9/27/76,2.7650
9/28/76,2.7500
9/29/76,2.6625
9/30/76,2.6325
10/1/76,2.5925
10/4/76,2.6450
10/5/76,2.6650
10/6/76,2.7550
10/7/76,2.7775
10/8/76,2.7525
10/11/76,2.7425
10/12/76,2.7775
10/13/76,2.9150
10/14/76,2.7800
10/15/76,2.7525
10/18/76,2.7475
10/19/76,2.7775
10/20/76,2.7725
10/21/76,2.7400
10/22/76,2.7150
10/25/76,2.6750
10/26/76,2.6650
10/27/76,2.6625
10/28/76,2.6250
10/29/76,2.6600
11/1/76,2.6675
11/3/76,2.6250
11/4/76,2.6400
11/5/76,2.6450
11/8/76,2.6500
11/9/76,2.6025
11/10/76,2.6000
11/11/76,2.5075
11/12/76,2.5225
11/15/76,2.5850
11/16/76,2.6000
11/17/76,2.5775
11/18/76,2.5700
11/19/76,2.5750
11/22/76,2.6175
11/23/76,2.6200
11/24/76,2.6200
11/26/76,2.5925
11/29/76,2.5275
11/30/76,2.5575
12/1/76,2.5700
12/2/76,2.6125
12/3/76,2.6450
12/6/76,2.6600
12/7/76,2.6250
12/8/76,2.6650
12/9/76,2.6800
12/10/76,2.6800
12/13/76,2.6925
12/14/76,2.6850
12/15/76,2.6450
12/16/76,2.6450
12/17/76,2.6100
12/20/76,2.6150
12/21/76,2.6300
12/22/76,2.6350
12/23/76,2.6700
12/27/76,2.7350
12/28/76,2.7550
12/29/76,2.7425
12/30/76,2.7250
12/31/76,2.7250
1/3/77,2.6975
1/4/77,2.6975
1/5/77,2.7225
1/6/77,2.7600
1/7/77,2.7350
1/10/77,2.7700
1/11/77,2.7600
1/12/77,2.7750
1/13/77,2.7375
1/14/77,2.7150
1/17/77,2.7325
1/18/77,2.7250
1/19/77,2.7300
1/20/77,2.7325
1/21/77,2.7325
1/24/77,2.7600
1/25/77,2.7375
1/26/77,2.7025
1/27/77,2.6725
1/28/77,2.6725
1/31/77,2.6925
2/1/77,2.6875
2/2/77,2.6775
2/3/77,2.7100
2/4/77,2.7475
2/7/77,2.7350
2/8/77,2.7450
2/9/77,2.7625
2/10/77,2.7600
2/11/77,2.7250
2/14/77,2.7150
2/15/77,2.7550
2/16/77,2.7600
2/17/77,2.7775
2/18/77,2.8125
2/22/77,2.7700
2/23/77,2.7850
2/24/77,2.7950
2/25/77,2.7550
2/28/77,2.6625
3/1/77,2.6925
3/2/77,2.6450
3/3/77,2.6225
3/4/77,2.6325
3/7/77,2.6275
3/8/77,2.6700
3/9/77,2.6650
3/10/77,2.6325
3/11/77,2.6350
3/14/77,2.6025
3/15/77,2.6025
3/16/77,2.6275
3/17/77,2.6100
3/18/77,2.6125
3/21/77,2.6375
3/22/77,2.6250
3/23/77,2.6075
3/24/77,2.6650
3/25/77,2.6825
3/28/77,2.6275
3/29/77,2.6300
3/30/77,2.5925
3/31/77,2.5950
4/1/77,2.6075
4/4/77,2.5600
4/5/77,2.4700
4/6/77,2.4900
4/7/77,2.5500
4/11/77,2.5650
4/12/77,2.5900
4/13/77,2.5625
4/14/77,2.5600
4/15/77,2.5850
4/18/77,2.5775
4/19/77,2.5800
4/20/77,2.5650
4/21/77,2.5400
4/22/77,2.5100
4/25/77,2.4425
4/26/77,2.4650
4/27/77,2.4325
4/28/77,2.4675
4/29/77,2.4550
5/2/77,2.4362
5/3/77,2.4175
5/4/77,2.3750
5/5/77,2.3525
5/6/77,2.3650
5/9/77,2.3350
5/10/77,2.3025
5/11/77,2.3275
5/12/77,2.4000
5/13/77,2.3525
5/16/77,2.3425
5/17/77,2.3300
5/18/77,2.3325
5/19/77,2.3600
5/20/77,2.3400
5/23/77,2.3525
5/24/77,2.3800
5/25/77,2.3500
5/26/77,2.3325
5/27/77,2.3150
5/31/77,2.3200
6/1/77,2.3325
6/2/77,2.3075
6/3/77,2.3000
6/6/77,2.2800
6/7/77,2.2850
6/8/77,2.2875
6/9/77,2.2650
6/10/77,2.2025
6/13/77,2.2025
6/14/77,2.2300
6/15/77,2.2700
6/16/77,2.2800
6/17/77,2.2750
6/20/77,2.2950
6/21/77,2.2575
6/22/77,2.2750
6/23/77,2.2900
6/24/77,2.2800
6/27/77,2.3650
6/28/77,2.3650
6/29/77,2.3400
6/30/77,2.3250
7/1/77,2.2825
7/5/77,2.2450
7/6/77,2.2950
7/7/77,2.2700
7/8/77,2.2725
7/11/77,2.2050
7/12/77,2.1800
7/13/77,2.2475
7/15/77,2.2025
7/18/77,2.1850
7/19/77,2.2100
7/20/77,2.1950
7/21/77,2.1875
7/22/77,2.1950
7/25/77,2.1650
7/26/77,2.1675
7/27/77,2.1350
7/28/77,2.0900
7/29/77,2.0950
8/1/77,2.1400
8/2/77,2.1125
8/3/77,2.1425
8/4/77,2.1375
8/5/77,2.1425
8/8/77,2.1225
8/9/77,2.1150
8/10/77,2.1175
8/11/77,2.1075
8/12/77,2.0925
8/15/77,2.0500
8/16/77,2.0700
8/17/77,2.0550
8/18/77,2.0575
8/19/77,2.0400
8/22/77,2.0175
8/23/77,2.0250
8/24/77,2.0600
8/25/77,2.0675
8/26/77,2.0475
8/29/77,2.0425
8/30/77,2.0400
8/31/77,2.0475
9/1/77,2.0425
9/2/77,2.0575
9/6/77,2.1100
9/7/77,2.1200
9/8/77,2.1375
9/9/77,2.1675
9/12/77,2.2050
9/13/77,2.2375
9/14/77,2.1925
9/15/77,2.1850
9/16/77,2.1825
9/19/77,2.2100
9/20/77,2.2300
9/21/77,2.3000
9/22/77,2.2450
9/23/77,2.2625
9/26/77,2.2825
9/27/77,2.2650
9/28/77,2.2400
9/29/77,2.2600
9/30/77,2.2750
10/3/77,2.3225
10/4/77,2.3300
10/5/77,2.3125
10/6/77,2.3175
